timestamp,asset_id,asset_type,oil_temp_c,load_pct,vibration_um,overall_status,source
2024-01-01 00:00:00,TRF-01,Transformer,67.51,58.49,3.238,Normal,HAI-distribution-matched
2024-01-01 00:05:00,TRF-02,Transformer,65.88,55.15,3.422,Normal,HAI-distribution-matched
2024-01-01 00:10:00,TRF-03,Transformer,67.74,55.4,3.019,Normal,HAI-distribution-matched
2024-01-01 00:15:00,TRF-04,Transformer,74.88,65.54,2.896,Normal,HAI-distribution-matched
2024-01-01 00:20:00,TRF-05,Transformer,71.1,58.59,3.124,Normal,HAI-distribution-matched
2024-01-01 00:25:00,TRF-01,Transformer,70.1,60.07,3.116,Normal,HAI-distribution-matched
2024-01-01 00:30:00,TRF-02,Transformer,76.13,66.44,2.822,Normal,HAI-distribution-matched
2024-01-01 00:35:00,TRF-03,Transformer,78.01,69.0,2.967,Normal,HAI-distribution-matched
2024-01-01 00:40:00,TRF-04,Transformer,75.42,69.4,2.787,Normal,HAI-distribution-matched
2024-01-01 00:45:00,TRF-05,Transformer,76.11,69.4,3.282,Normal,HAI-distribution-matched
2024-01-01 00:50:00,TRF-01,Transformer,73.72,69.4,3.639,Normal,HAI-distribution-matched
2024-01-01 00:55:00,TRF-02,Transformer,71.69,69.4,3.699,Normal,HAI-distribution-matched
2024-01-01 01:00:00,TRF-03,Transformer,72.05,69.4,3.84,Normal,HAI-distribution-matched
2024-01-01 01:05:00,TRF-04,Transformer,64.45,64.25,3.82,Normal,HAI-distribution-matched
2024-01-01 01:10:00,TRF-05,Transformer,60.5,66.37,3.84,Normal,HAI-distribution-matched
2024-01-01 01:15:00,TRF-01,Transformer,59.9,65.97,3.84,Normal,HAI-distribution-matched
2024-01-01 01:20:00,TRF-02,Transformer,58.28,64.6,3.84,Normal,HAI-distribution-matched
2024-01-01 01:25:00,TRF-03,Transformer,61.65,69.4,3.813,Normal,HAI-distribution-matched
2024-01-01 01:30:00,TRF-04,Transformer,59.5,67.33,3.251,Normal,HAI-distribution-matched
2024-01-01 01:35:00,TRF-05,Transformer,59.72,69.4,3.192,Normal,HAI-distribution-matched
2024-01-01 01:40:00,TRF-01,Transformer,63.46,69.4,3.376,Normal,HAI-distribution-matched
2024-01-01 01:45:00,TRF-02,Transformer,63.67,69.4,3.563,Normal,HAI-distribution-matched
2024-01-01 01:50:00,TRF-03,Transformer,64.25,67.85,3.609,Normal,HAI-distribution-matched
2024-01-01 01:55:00,TRF-04,Transformer,60.64,67.51,3.378,Normal,HAI-distribution-matched
2024-01-01 02:00:00,TRF-05,Transformer,60.81,69.4,2.811,Normal,HAI-distribution-matched
2024-01-01 02:05:00,TRF-01,Transformer,60.6,63.36,2.712,Normal,HAI-distribution-matched
2024-01-01 02:10:00,TRF-02,Transformer,57.62,61.27,2.676,Normal,HAI-distribution-matched
2024-01-01 02:15:00,TRF-03,Transformer,61.38,65.47,2.644,Normal,HAI-distribution-matched
2024-01-01 02:20:00,TRF-04,Transformer,60.0,63.39,2.857,Normal,HAI-distribution-matched
2024-01-01 02:25:00,TRF-05,Transformer,60.96,65.72,3.391,Normal,HAI-distribution-matched
2024-01-01 02:30:00,TRF-01,Transformer,61.38,69.4,3.364,Normal,HAI-distribution-matched
2024-01-01 02:35:00,TRF-02,Transformer,67.94,69.07,3.254,Normal,HAI-distribution-matched
2024-01-01 02:40:00,TRF-03,Transformer,68.13,69.21,3.149,Normal,HAI-distribution-matched
2024-01-01 02:45:00,TRF-04,Transformer,64.66,67.49,3.159,Normal,HAI-distribution-matched
2024-01-01 02:50:00,TRF-05,Transformer,67.54,66.93,2.921,Normal,HAI-distribution-matched
2024-01-01 02:55:00,TRF-01,Transformer,64.83,69.4,2.964,Normal,HAI-distribution-matched
2024-01-01 03:00:00,TRF-02,Transformer,66.12,69.4,3.086,Normal,HAI-distribution-matched
2024-01-01 03:05:00,TRF-03,Transformer,60.17,67.25,3.127,Normal,HAI-distribution-matched
2024-01-01 03:10:00,TRF-04,Transformer,59.72,69.4,3.226,Normal,HAI-distribution-matched
2024-01-01 03:15:00,TRF-05,Transformer,58.82,64.04,3.304,Normal,HAI-distribution-matched
2024-01-01 03:20:00,TRF-01,Transformer,61.11,59.96,2.801,Normal,HAI-distribution-matched
2024-01-01 03:25:00,TRF-02,Transformer,61.39,56.52,2.995,Normal,HAI-distribution-matched
2024-01-01 03:30:00,TRF-03,Transformer,61.25,55.16,2.823,Normal,HAI-distribution-matched
2024-01-01 03:35:00,TRF-04,Transformer,60.64,54.2,2.567,Normal,HAI-distribution-matched
2024-01-01 03:40:00,TRF-05,Transformer,57.86,57.41,2.346,Normal,HAI-distribution-matched
2024-01-01 03:45:00,TRF-01,Transformer,56.36,55.54,2.556,Normal,HAI-distribution-matched
2024-01-01 03:50:00,TRF-02,Transformer,57.28,58.73,2.565,Normal,HAI-distribution-matched
2024-01-01 03:55:00,TRF-03,Transformer,62.7,61.99,2.197,Normal,HAI-distribution-matched
2024-01-01 04:00:00,TRF-04,Transformer,63.19,58.05,2.44,Normal,HAI-distribution-matched
2024-01-01 04:05:00,TRF-05,Transformer,59.38,61.32,2.16,Normal,HAI-distribution-matched
2024-01-01 04:10:00,TRF-01,Transformer,62.42,64.51,2.316,Normal,HAI-distribution-matched
2024-01-01 04:15:00,TRF-02,Transformer,59.33,55.29,2.48,Normal,HAI-distribution-matched
2024-01-01 04:20:00,TRF-03,Transformer,58.57,56.54,2.787,Normal,HAI-distribution-matched
2024-01-01 04:25:00,TRF-04,Transformer,60.67,54.07,3.279,Normal,HAI-distribution-matched
2024-01-01 04:30:00,TRF-05,Transformer,66.09,59.98,2.885,Normal,HAI-distribution-matched
2024-01-01 04:35:00,TRF-01,Transformer,67.99,56.94,2.888,Normal,HAI-distribution-matched
2024-01-01 04:40:00,TRF-02,Transformer,63.29,50.72,2.834,Normal,HAI-distribution-matched
2024-01-01 04:45:00,TRF-03,Transformer,62.59,51.23,2.971,Normal,HAI-distribution-matched
2024-01-01 04:50:00,TRF-04,Transformer,62.74,47.83,3.031,Normal,HAI-distribution-matched
2024-01-01 04:55:00,TRF-05,Transformer,67.08,52.66,2.935,Normal,HAI-distribution-matched
2024-01-01 05:00:00,TRF-01,Transformer,64.28,49.44,2.831,Normal,HAI-distribution-matched
2024-01-01 05:05:00,TRF-02,Transformer,63.82,50.19,2.568,Normal,HAI-distribution-matched
2024-01-01 05:10:00,TRF-03,Transformer,62.79,57.76,2.888,Normal,HAI-distribution-matched
2024-01-01 05:15:00,TRF-04,Transformer,61.05,62.2,3.023,Normal,HAI-distribution-matched
2024-01-01 05:20:00,TRF-05,Transformer,64.67,63.24,3.257,Normal,HAI-distribution-matched
2024-01-01 05:25:00,TRF-01,Transformer,68.55,61.44,3.138,Normal,HAI-distribution-matched
2024-01-01 05:30:00,TRF-02,Transformer,68.32,62.17,2.948,Normal,HAI-distribution-matched
2024-01-01 05:35:00,TRF-03,Transformer,71.69,64.14,2.677,Normal,HAI-distribution-matched
2024-01-01 05:40:00,TRF-04,Transformer,70.45,58.4,2.818,Normal,HAI-distribution-matched
2024-01-01 05:45:00,TRF-05,Transformer,68.86,61.66,2.577,Normal,HAI-distribution-matched
2024-01-01 05:50:00,TRF-01,Transformer,67.88,55.79,3.118,Normal,HAI-distribution-matched
2024-01-01 05:55:00,TRF-02,Transformer,72.75,58.2,2.763,Normal,HAI-distribution-matched
2024-01-01 06:00:00,TRF-03,Transformer,70.01,52.82,2.869,Normal,HAI-distribution-matched
2024-01-01 06:05:00,TRF-04,Transformer,76.48,61.83,3.293,Normal,HAI-distribution-matched
2024-01-01 06:10:00,TRF-05,Transformer,68.04,64.19,3.404,Normal,HAI-distribution-matched
2024-01-01 06:15:00,TRF-01,Transformer,67.95,55.92,3.388,Normal,HAI-distribution-matched
2024-01-01 06:20:00,TRF-02,Transformer,67.76,55.78,3.08,Normal,HAI-distribution-matched
2024-01-01 06:25:00,TRF-03,Transformer,65.77,53.36,2.712,Normal,HAI-distribution-matched
2024-01-01 06:30:00,TRF-04,Transformer,65.08,50.77,2.954,Normal,HAI-distribution-matched
2024-01-01 06:35:00,TRF-05,Transformer,59.4,52.06,3.349,Normal,HAI-distribution-matched
2024-01-01 06:40:00,TRF-01,Transformer,58.36,48.39,3.184,Normal,HAI-distribution-matched
2024-01-01 06:45:00,TRF-02,Transformer,61.42,52.75,2.862,Normal,HAI-distribution-matched
2024-01-01 06:50:00,TRF-03,Transformer,67.25,56.21,2.248,Normal,HAI-distribution-matched
2024-01-01 06:55:00,TRF-04,Transformer,65.85,57.58,2.16,Normal,HAI-distribution-matched
2024-01-01 07:00:00,TRF-05,Transformer,63.31,57.11,2.212,Normal,HAI-distribution-matched
2024-01-01 07:05:00,TRF-01,Transformer,62.96,59.71,2.743,Normal,HAI-distribution-matched
2024-01-01 07:10:00,TRF-02,Transformer,67.02,62.51,2.956,Normal,HAI-distribution-matched
2024-01-01 07:15:00,TRF-03,Transformer,68.29,63.39,3.041,Normal,HAI-distribution-matched
2024-01-01 07:20:00,TRF-04,Transformer,64.49,56.33,2.932,Normal,HAI-distribution-matched
2024-01-01 07:25:00,TRF-05,Transformer,65.04,52.64,2.791,Normal,HAI-distribution-matched
2024-01-01 07:30:00,TRF-01,Transformer,64.96,51.81,3.185,Normal,HAI-distribution-matched
2024-01-01 07:35:00,TRF-02,Transformer,65.86,45.76,3.209,Normal,HAI-distribution-matched
2024-01-01 07:40:00,TRF-03,Transformer,63.96,48.14,2.635,Normal,HAI-distribution-matched
2024-01-01 07:45:00,TRF-04,Transformer,65.02,55.41,2.516,Normal,HAI-distribution-matched
2024-01-01 07:50:00,TRF-05,Transformer,65.53,60.89,2.367,Normal,HAI-distribution-matched
2024-01-01 07:55:00,TRF-01,Transformer,62.11,63.28,2.321,Normal,HAI-distribution-matched
2024-01-01 08:00:00,TRF-02,Transformer,64.38,65.25,2.568,Normal,HAI-distribution-matched
2024-01-01 08:05:00,TRF-03,Transformer,66.95,69.4,2.605,Normal,HAI-distribution-matched
2024-01-01 08:10:00,TRF-04,Transformer,67.32,69.4,2.645,Normal,HAI-distribution-matched
2024-01-01 08:15:00,TRF-05,Transformer,66.93,69.4,3.037,Normal,HAI-distribution-matched
2024-01-01 08:20:00,TRF-01,Transformer,62.15,66.19,2.852,Normal,HAI-distribution-matched
2024-01-01 08:25:00,TRF-02,Transformer,62.8,69.4,3.355,Normal,HAI-distribution-matched
