timestamp,asset_id,asset_type,current_amps,current_pct_rated,ground_clearance_ft,overall_status,source
2024-01-01 00:00:00,PL-01,PowerLine,666.2,33.31,24.143,Normal,HAI-distribution-matched
2024-01-01 00:05:00,PL-02,PowerLine,727.7,36.39,24.242,Normal,HAI-distribution-matched
2024-01-01 00:10:00,PL-03,PowerLine,731.0,36.55,23.906,Normal,HAI-distribution-matched
2024-01-01 00:15:00,PL-04,PowerLine,875.7,43.79,23.939,Normal,HAI-distribution-matched
2024-01-01 00:20:00,PL-05,PowerLine,856.6,42.83,23.829,Normal,HAI-distribution-matched
2024-01-01 00:25:00,PL-06,PowerLine,720.4,36.02,23.729,Normal,HAI-distribution-matched
2024-01-01 00:30:00,PL-07,PowerLine,702.6,35.13,23.887,Normal,HAI-distribution-matched
2024-01-01 00:35:00,PL-08,PowerLine,660.7,33.03,23.566,Normal,HAI-distribution-matched
2024-01-01 00:40:00,PL-01,PowerLine,552.1,27.6,23.187,Normal,HAI-distribution-matched
2024-01-01 00:45:00,PL-02,PowerLine,583.9,29.2,23.494,Normal,HAI-distribution-matched
2024-01-01 00:50:00,PL-03,PowerLine,570.5,28.52,23.374,Normal,HAI-distribution-matched
2024-01-01 00:55:00,PL-04,PowerLine,600.9,30.05,23.341,Normal,HAI-distribution-matched
2024-01-01 01:00:00,PL-05,PowerLine,750.8,37.54,22.8,Normal,HAI-distribution-matched
2024-01-01 01:05:00,PL-06,PowerLine,733.6,36.68,23.274,Normal,HAI-distribution-matched
2024-01-01 01:10:00,PL-07,PowerLine,804.1,40.21,23.576,Normal,HAI-distribution-matched
2024-01-01 01:15:00,PL-08,PowerLine,774.4,38.72,23.901,Normal,HAI-distribution-matched
2024-01-01 01:20:00,PL-01,PowerLine,793.9,39.69,24.059,Normal,HAI-distribution-matched
2024-01-01 01:25:00,PL-02,PowerLine,788.6,39.43,23.491,Normal,HAI-distribution-matched
2024-01-01 01:30:00,PL-03,PowerLine,795.0,39.75,23.652,Normal,HAI-distribution-matched
2024-01-01 01:35:00,PL-04,PowerLine,771.1,38.55,23.479,Normal,HAI-distribution-matched
2024-01-01 01:40:00,PL-05,PowerLine,867.4,43.37,23.202,Normal,HAI-distribution-matched
2024-01-01 01:45:00,PL-06,PowerLine,888.9,44.44,23.506,Normal,HAI-distribution-matched
2024-01-01 01:50:00,PL-07,PowerLine,869.1,43.45,24.192,Normal,HAI-distribution-matched
2024-01-01 01:55:00,PL-08,PowerLine,910.7,45.54,24.714,Normal,HAI-distribution-matched
2024-01-01 02:00:00,PL-01,PowerLine,888.6,44.43,24.836,Normal,HAI-distribution-matched
2024-01-01 02:05:00,PL-02,PowerLine,940.0,47.0,24.7,Normal,HAI-distribution-matched
2024-01-01 02:10:00,PL-03,PowerLine,819.3,40.96,24.515,Normal,HAI-distribution-matched
2024-01-01 02:15:00,PL-04,PowerLine,940.0,47.0,24.104,Normal,HAI-distribution-matched
2024-01-01 02:20:00,PL-05,PowerLine,932.5,46.62,23.989,Normal,HAI-distribution-matched
2024-01-01 02:25:00,PL-06,PowerLine,813.5,40.67,24.326,Normal,HAI-distribution-matched
2024-01-01 02:30:00,PL-07,PowerLine,851.7,42.58,24.949,Normal,HAI-distribution-matched
2024-01-01 02:35:00,PL-08,PowerLine,924.3,46.22,24.506,Normal,HAI-distribution-matched
2024-01-01 02:40:00,PL-01,PowerLine,815.1,40.75,23.694,Normal,HAI-distribution-matched
2024-01-01 02:45:00,PL-02,PowerLine,763.0,38.15,23.544,Normal,HAI-distribution-matched
2024-01-01 02:50:00,PL-03,PowerLine,828.4,41.42,23.946,Normal,HAI-distribution-matched
2024-01-01 02:55:00,PL-04,PowerLine,850.8,42.54,24.718,Normal,HAI-distribution-matched
2024-01-01 03:00:00,PL-05,PowerLine,795.7,39.79,25.094,Normal,HAI-distribution-matched
2024-01-01 03:05:00,PL-06,PowerLine,763.0,38.15,25.2,Normal,HAI-distribution-matched
2024-01-01 03:10:00,PL-07,PowerLine,661.3,33.07,24.88,Normal,HAI-distribution-matched
2024-01-01 03:15:00,PL-08,PowerLine,594.3,29.71,24.445,Normal,HAI-distribution-matched
2024-01-01 03:20:00,PL-01,PowerLine,486.8,24.34,23.89,Normal,HAI-distribution-matched
2024-01-01 03:25:00,PL-02,PowerLine,493.1,24.65,23.661,Normal,HAI-distribution-matched
2024-01-01 03:30:00,PL-03,PowerLine,574.1,28.7,24.049,Normal,HAI-distribution-matched
2024-01-01 03:35:00,PL-04,PowerLine,573.3,28.67,24.641,Normal,HAI-distribution-matched
2024-01-01 03:40:00,PL-05,PowerLine,674.7,33.73,24.672,Normal,HAI-distribution-matched
2024-01-01 03:45:00,PL-06,PowerLine,630.8,31.54,24.477,Normal,HAI-distribution-matched
2024-01-01 03:50:00,PL-07,PowerLine,531.2,26.56,24.012,Normal,HAI-distribution-matched
2024-01-01 03:55:00,PL-08,PowerLine,641.7,32.09,23.969,Normal,HAI-distribution-matched
